year,code,country,sex,value,highlighted
2022,NZL,New Zealand,Male,68.23665168350581,False
2022,NZL,New Zealand,Female,68.71650158753647,False
2023,NZL,New Zealand,Male,68.41094456738404,False
2023,NZL,New Zealand,Female,68.67223628514193,False
2000,POL,Poland,Male,61.064621956390745,False
2000,POL,Poland,Female,66.65750674455862,False
2001,POL,Poland,Male,61.46676889845778,False
2001,POL,Poland,Female,66.95315940822037,False
2002,POL,Poland,Male,61.78241688740255,False
2002,POL,Poland,Female,67.24070332812833,False
2003,POL,Poland,Male,61.93913621674656,False
2003,POL,Poland,Female,67.38304379851849,False
2004,POL,Poland,Male,62.09042148615618,False
2004,POL,Poland,Female,67.59099016119961,False
2005,POL,Poland,Male,62.23121162687232,False
2005,POL,Poland,Female,67.77937311318371,False
2006,POL,Poland,Male,62.334159246672186,False
2006,POL,Poland,Female,67.9398421232198,False
2007,POL,Poland,Male,62.44749108460789,False
2007,POL,Poland,Female,68.08393698654434,False
2008,POL,Poland,Male,62.65244916180483,False
2008,POL,Poland,Female,68.25436159911446,False
2009,POL,Poland,Male,62.90682664962612,False
2009,POL,Poland,Female,68.42386162437467,False
2010,POL,Poland,Male,63.24994841818598,False
2010,POL,Poland,Female,68.69658131677384,False
2011,POL,Poland,Male,63.52484031420916,False
2011,POL,Poland,Female,68.9032093642725,False
2012,POL,Poland,Male,63.68283180596785,False
2012,POL,Poland,Female,69.00612970937867,False
2013,POL,Poland,Male,63.95084260646132,False
2013,POL,Poland,Female,69.14836532325522,False
2014,POL,Poland,Male,64.31160271759515,False
2014,POL,Poland,Female,69.42152147235878,False
2015,POL,Poland,Male,64.35452922956041,False
2015,POL,Poland,Female,69.46927587492733,False
2016,POL,Poland,Male,64.52297233446497,False
2016,POL,Poland,Female,69.6457619051651,False
2017,POL,Poland,Male,64.57721982211807,False
2017,POL,Poland,Female,69.62539405579001,False
2018,POL,Poland,Male,64.59906351802724,False
2018,POL,Poland,Female,69.63132025984167,False
2019,POL,Poland,Male,64.74252381680233,False
2019,POL,Poland,Female,69.75660757118331,False
2020,POL,Poland,Male,63.48756754511336,False
2020,POL,Poland,Female,68.61684422101061,False
2021,POL,Poland,Male,62.7484292254817,False
2021,POL,Poland,Female,67.68430385580733,False
2022,POL,Poland,Male,64.03351160067577,False
2022,POL,Poland,Female,68.84409088010871,False
2023,POL,Poland,Male,65.04678921758776,False
2023,POL,Poland,Female,69.51815737495657,False
2000,PRT,Portugal,Male,64.31003925439384,False
2000,PRT,Portugal,Female,68.51772357902233,False
2001,PRT,Portugal,Male,64.59471784871542,False
2001,PRT,Portugal,Female,68.73508966634877,False
2002,PRT,Portugal,Male,64.83057810995601,False
2002,PRT,Portugal,Female,68.85461219143284,False
2003,PRT,Portugal,Male,65.15805797255062,False
2003,PRT,Portugal,Female,69.03307163424861,False
2004,PRT,Portugal,Male,65.67395189474084,False
2004,PRT,Portugal,Female,69.49316344584065,False
2005,PRT,Portugal,Male,65.98476472420366,False
2005,PRT,Portugal,Female,69.8369485487353,False
2006,PRT,Portugal,Male,66.25447169800454,False
2006,PRT,Portugal,Female,70.06756184297069,False
2007,PRT,Portugal,Male,66.5165541188956,False
